Q1_1,Q1_2,Q1_3,Q1_4,Q1_5
Rate your experience with the previous task: - How mentally demanding was the task?,Rate your experience with the previous task: - How physically demanding was the task?,Rate your experience with the previous task: - How hurried or rushed was the pace of the task?,Rate your experience with the previous task: - How successful were you in accomplishing what you were asked to do?,"Rate your experience with the previous task: - How insecure, discouraged, irritated, stressed, and annoyed were you?"
"{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}"
11,6,7,9,7
4,4,4,17,3
1,0,3,18,2
1,0,5,19,3
5,3,4,16,6
1,0,4,17,2
2,2,7,14,3
3,0,4,15,1
4,0,4,17,0
6,4,7,12,6
5,2,7,15,4
5,2,4,15,4
4,5,3,15,0
0,0,0,16,0
0,0,0,17,0
0,0,0,12,0
0,0,0,19,0
0,0,0,10,0
0,0,0,14,0
0,0,0,12,0
0,0,0,16,1
0,0,0,20,1
0,0,0,17,0
0,0,1,15,0
9,3,13,17,3
16,7,6,19,13
17,7,16,20,12
6,4,6,20,0
11,14,5,16,3
16,6,2,20,2
17,5,4,18,6
19,8,11,20,3
8,5,2,20,4
9,13,15,20,2
2,3,2,20,0
4,4,5,20,0
8,0,1,16,3
2,2,0,17,0
2,0,0,20,0
0,0,0,20,0
0,0,0,20,0
0,0,0,20,0
3,0,0,18,0
0,0,0,20,0
3,0,0,17,2
2,1,0,18,2
3,0,0,20,1
1,0,0,18,2
2,13,5,15,1
15,13,7,12,1
4,5,7,17,1
4,3,6,18,1
7,7,7,15,1
4,4,5,16,1
3,3,5,18,1
3,3,4,19,1
4,5,5,19,1
7,8,5,14,1
5,5,5,17,1
5,6,4,17,1
0,0,0,20,0
0,0,0,20,0
0,0,0,20,0
0,0,0,20,0
0,0,0,20,0
0,0,0,20,0
0,0,0,20,0
0,0,0,20,0
0,0,0,20,0
0,0,0,20,0
0,0,0,20,0
0,0,0,20,0
4,3,4,4,1
6,2,3,3,4
1,1,2,5,2
2,3,2,5,1
3,1,3,6,1
4,2,2,4,2
5,2,2,3,4
1,1,1,7,1
2,1,1,5,0
3,1,2,4,1
3,1,3,4,2
2,1,2,4,1
5,3,4,12,2
8,3,12,13,2
8,4,3,15,1
3,4,1,13,0
4,4,3,12,3
3,2,4,16,1
2,2,3,17,1
4,2,1,17,0
5,3,1,13,3
3,2,2,18,0
5,3,1,13,2
7,2,3,15,1
2,2,0,18,3
2,3,2,19,2
5,5,2,15,4
4,4,5,16,2
4,3,2,18,1
4,4,2,14,2
5,4,3,13,4
1,1,1,19,1
12,6,6,9,5
2,2,1,18,1
3,2,4,16,2
6,3,4,11,5
0,0,0,20,0
0,0,0,20,0
0,0,13,20,1
0,0,5,0,1
0,0,0,20,1
0,0,4,20,1
0,0,3,20,1
0,0,2,20,1
0,0,3,20,1
0,0,2,20,1
0,0,3,20,1
0,0,3,20,1
2,6,0,19,1
4,0,3,18,0
1,2,1,19,0
1,0,1,19,0
3,3,4,18,2
2,2,4,19,0
1,4,0,19,0
4,2,4,17,0
4,2,3,16,0
3,3,2,16,0
5,3,5,19,0
2,2,1,18,0
15,15,4,18,3
11,12,4,16,2
17,16,4,15,2
5,4,2,19,1
5,5,2,19,1
6,5,4,19,1
2,2,0,20,0
2,2,1,20,0
3,7,1,19,0
2,3,2,20,0
2,2,0,20,0
3,6,0,20,0
1,0,12,15,2
2,0,3,15,5
1,0,10,18,6
1,0,10,20,1
3,1,2,14,8
2,1,2,14,5
2,1,3,17,5
1,0,8,19,2
2,0,8,20,2
3,1,2,14,6
2,1,10,12,6
1,0,4,20,1
2,2,2,13,4
4,4,4,15,4
4,3,3,16,4
6,4,4,14,5
4,3,3,16,3
4,3,4,17,3
5,4,4,16,5
6,5,4,13,6
6,5,4,14,5
5,4,4,16,4
2,2,3,17,2
4,3,3,16,3
4,9,0,20,1
1,3,0,19,0
1,5,0,20,2
0,1,0,20,0
0,2,0,20,0
2,4,0,20,1
0,2,0,20,0
0,2,0,20,0
1,1,0,20,0
0,1,0,20,0
0,1,0,20,0
0,1,0,20,0
1,2,3,17,2
4,4,5,20,3
2,2,3,20,2
2,4,3,20,1
3,6,4,20,3
3,6,4,20,1
2,4,2,20,2
1,3,2,20,0
1,3,2,20,0
1,2,2,20,0
2,2,3,20,0
0,1,1,20,0
1,0,3,8,1
1,0,2,3,1
3,2,3,10,0
0,1,3,10,0
0,1,1,7,2
3,2,3,7,1
1,2,5,8,0
2,2,3,8,1
1,1,2,15,0
1,1,4,15,1
1,2,5,13,4
4,2,3,11,2
3,6,14,10,0
5,3,8,14,1
6,1,6,8,1
3,3,7,14,1
5,5,3,10,1
3,2,10,16,1
3,1,12,14,1
3,3,8,9,1
7,5,8,12,2
3,4,12,13,2
4,4,10,16,2
5,4,8,11,2
16,8,4,6,11
6,7,12,14,5
4,3,6,15,6
5,12,7,13,8
15,7,8,7,15
12,7,7,7,15
3,7,3,17,1
14,5,7,13,13
3,5,4,19,1
12,13,6,7,12
15,13,5,6,16
7,6,6,15,12
14,5,12,12,2
16,3,13,11,8
11,2,11,13,9
7,2,5,16,3
7,3,6,14,1
11,5,9,14,3
7,5,5,15,3
13,5,9,11,5
9,3,7,12,6
15,6,12,11,6
13,5,12,12,4
16,6,8,10,7
5,10,0,14,1
4,5,0,14,6
1,2,0,20,0
3,4,0,16,2
0,1,0,20,0
1,2,0,20,1
10,8,3,15,5
0,1,0,20,0
3,3,0,18,1
18,20,0,13,16
3,3,0,19,2
1,1,0,20,1
6,14,3,15,0
2,5,5,18,0
3,10,3,18,0
4,4,3,18,0
7,4,3,15,3
2,2,3,18,0
5,4,3,18,0
1,3,3,19,0
10,4,6,14,2
11,6,5,16,2
6,5,2,18,0
2,4,2,19,0
2,4,0,13,1
5,4,2,13,3
3,2,2,17,1
1,2,5,14,2
2,2,1,20,0
5,2,2,15,2
1,1,3,20,0
2,1,1,20,0
5,2,4,14,2
1,1,1,20,0
6,2,7,14,3
7,2,6,17,3
4,9,10,12,6
2,4,2,14,6
0,1,0,20,0
1,3,0,17,0
0,1,1,20,0
8,5,5,12,5
0,0,0,20,0
0,0,0,20,0
1,1,0,19,0
0,1,0,20,1
2,0,0,20,2
2,2,0,19,1
5,2,2,14,3
4,2,2,14,2
3,2,3,14,2
4,2,4,14,2
5,3,5,11,4
5,3,5,15,3
6,2,5,15,3
4,2,2,14,2
4,2,4,16,1
4,2,2,17,0
2,2,3,14,2
5,2,4,12,2
6,7,14,4,0
2,2,3,15,0
13,11,0,20,0
7,12,0,15,0
3,5,8,14,0
2,5,0,20,0
4,2,5,15,0
4,2,0,15,0
3,4,0,15,0
5,3,0,15,0
5,8,2,13,0
3,2,0,15,0
0,1,1,20,0
2,5,3,18,0
5,7,2,19,1
2,5,4,20,0
1,3,0,20,0
0,2,5,20,0
3,6,4,18,2
2,6,2,18,2
4,6,2,19,2
2,7,4,20,0
0,4,2,20,0
5,8,6,20,0
3,0,5,8,1
1,0,7,12,3
7,3,4,12,3
6,3,6,10,4
7,3,8,8,4
3,3,4,12,3
4,3,5,10,5
3,2,4,11,3
4,3,4,9,4
5,3,5,9,5
5,3,7,11,2
5,3,5,8,3
3,3,3,18,0
1,1,0,19,0
2,1,2,19,0
3,2,3,19,0
7,4,2,15,2
5,1,1,19,1
4,2,1,17,1
2,1,2,18,1
3,2,1,18,0
4,2,1,16,3
2,3,2,16,1
2,2,1,17,1
0,1,10,19,0
4,3,9,18,2
2,1,14,20,0
6,3,15,19,1
7,5,9,17,3
0,2,19,20,0
2,2,18,20,0
8,5,13,16,3
4,6,14,15,4
4,5,18,20,2
4,4,17,18,3
4,3,19,20,0
